timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
76508320,76507760,41,0,7315,0,1062,1061,1371,1456,1488,1420,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
76998036,76997473,41,0,7366,0,1301,1301,1420,1494,1490,1446,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
77510264,77509704,41,0,7422,0,1288,1288,1347,1436,1490,1408,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
78007420,78006859,41,0,7478,0,1042,1040,1303,1402,1490,1386,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
78502293,78501732,41,0,7532,0,1129,1128,1278,1382,1490,1383,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
78994360,78993800,41,0,7587,0,1185,1182,1295,1394,1495,1407,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
79506588,79506027,41,0,7643,0,1241,1240,1278,1382,1492,1374,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
79986304,79985743,41,0,7697,0,1241,1240,1255,1362,1496,1362,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
80501188,80500627,41,0,7754,0,1241,1240,1186,1307,1490,1328,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
81003174,81002611,41,0,7809,0,1241,1240,1128,1261,1499,1298,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
81495374,81494813,41,0,7863,0,1241,1240,1092,1232,1535,1280,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
82000173,81999579,41,0,7919,0,1133,1217,1072,1216,1555,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
82512280,82511721,41,0,7976,0,982,1067,1092,1232,1547,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
83009491,83008925,41,0,8031,0,1120,1264,1084,1225,1560,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
83494207,83493644,41,0,8085,0,1148,1247,1050,1199,1567,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
83996426,83995865,41,0,8140,0,1157,1238,1034,1185,1586,982,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
84491178,84490617,41,0,8195,0,1201,1200,1228,1341,1602,1348,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
84993368,84992809,41,0,8251,0,1202,1201,1396,1475,1622,1432,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
85498058,85497497,41,0,8307,0,1202,1201,1482,1544,1598,1475,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
