timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
228066180,4259850,4259850,2490378,0,0,0.15393361,0.15393361,0.0,0.0,4325386,4325386,2490378,0,0,0.006379598,0.006379598,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
228266132,4259850,4259850,2490378,0,0,0.15375015,0.15375017,0.0,0.0,4325386,4325386,2490378,0,0,0.006617292,0.006617292,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
228466096,4259850,4259850,2490378,0,0,0.1507283,0.1507283,0.0,0.0,4325386,4325386,2490378,0,0,0.006102365,0.006102365,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
228666035,4259850,4259850,2490378,0,0,0.15464981,0.15464978,0.0,0.0,4325386,4325386,2490378,0,0,0.006657589,0.006657589,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
228865984,4259850,4259850,2490378,0,0,0.15154906,0.1515491,0.0,0.0,4325386,4325386,2490378,0,0,0.006295712,0.006295712,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
229065941,4259850,4259850,2490378,0,0,0.1519746,0.1519746,0.0,0.0,4325386,4325386,2490378,0,0,0.0060405736,0.0060405736,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
229265888,4259850,4259850,2490378,0,0,0.15301089,0.15301092,0.0,0.0,4325386,4325386,2490378,0,0,0.00595804,0.00595804,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
229465837,4259850,4259850,2490378,0,0,0.1520512,0.15205118,0.0,0.0,4325386,4325386,2490378,0,0,0.0061590215,0.0061590215,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
229665801,4259850,4259850,2490378,0,0,0.1533187,0.15331869,0.0,0.0,4325386,4325386,2490378,0,0,0.0063295728,0.0063295728,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
229865738,4259850,4259850,2490378,0,0,0.1505667,0.15056671,0.0,0.0,4325386,4325386,2490378,0,0,0.006098983,0.006098983,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
230065703,4259850,4259850,2490378,0,0,0.15302189,0.15302187,0.0,0.0,4325386,4325386,2490378,0,0,0.0059500556,0.0059500556,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
230265641,4259850,4259850,2490378,0,0,0.15153258,0.15153255,0.0,0.0,4325386,4325386,2490378,0,0,0.0059200884,0.0059200884,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
230465591,4259850,4259850,2490378,0,0,0.15105693,0.15105693,0.0,0.0,4325386,4325386,2490378,0,0,0.0066122073,0.0066122073,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
230665546,4259850,4259850,2490378,0,0,0.15290134,0.15290132,0.0,0.0,4325386,4325386,2490378,0,0,0.006258571,0.006258571,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
230865515,4259850,4259850,2490378,0,0,0.15143043,0.15143043,0.0,0.0,4325386,4325386,2490378,0,0,0.0063016056,0.0063016056,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
231065441,4259850,4259850,2490378,0,0,0.15150033,0.15150034,0.0,0.0,4325386,4325386,2490378,0,0,0.0065884413,0.0065884413,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
