timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
570923764,570823703,2490378,-0.008069621,0.00021752293,-0.0010306189,0.34906584,1.761551e-07,1.7574031e-07,4.3124012e-07,2490378,-0.1962966,0.38840866,-0.12068612,0.4,0.012310687,0.0038344397,0.00050468795,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
571928970,571828995,2490378,-0.00806989,0.00022002221,-0.0010295007,0.34906584,1.7777016e-07,1.7735844e-07,4.3070958e-07,2490378,-0.19629723,0.38840967,-0.12066247,0.4,0.012310845,0.0038345505,0.00050469424,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
572934479,572834290,2490378,-0.008069717,0.00022024589,-0.0010374353,0.34906584,1.7737607e-07,1.7696414e-07,4.3092598e-07,2490378,-0.19629696,0.3884096,-0.12064506,0.4,0.012310927,0.003834638,0.00050469214,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
573939642,573839584,2490378,-0.008070245,0.00022014801,-0.0010284523,0.34906584,1.7698082e-07,1.765682e-07,4.311446e-07,2490378,-0.19629738,0.38840976,-0.120586365,0.4,0.012311026,0.0038347314,0.0005046908,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
574944996,574844879,2490378,-0.008072062,0.00022061239,-0.0010355816,0.34906584,1.7658486e-07,1.7617201e-07,4.306107e-07,2490378,-0.19629705,0.38840953,-0.12042663,0.4,0.012311107,0.0038348183,0.000504693,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
575950323,575850173,2490378,-0.008073049,0.00022121925,-0.0010426433,0.34906584,1.7619075e-07,1.7577602e-07,4.3082855e-07,2490378,-0.19629699,0.38840973,-0.1203155,0.4,0.012311202,0.0038349102,0.0005046906,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
576955481,576855468,2490378,-0.008073014,0.0002222958,-0.0010376512,0.34906584,1.7787285e-07,1.7745955e-07,4.3105058e-07,2490378,-0.19629698,0.38840958,-0.12021996,0.4,0.012311282,0.0038349968,0.0005046937,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
577960721,577860762,2490378,-0.008073767,0.00022083764,-0.0010455811,0.34906584,1.7747594e-07,1.770622e-07,4.3127173e-07,2490378,-0.19629715,0.3884096,-0.120122544,0.4,0.012311378,0.0038350888,0.0005046922,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
578966031,578866056,2490378,-0.008074353,0.00022068406,-0.0010399583,0.34906584,1.770797e-07,1.7666558e-07,4.3073962e-07,2490378,-0.19629768,0.38840964,-0.1200592,0.4,0.012311477,0.003835182,0.0005046917,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
579971357,579871351,2490378,-0.008076229,0.00022156033,-0.0010368961,0.34906584,1.7668532e-07,1.7626805e-07,4.3095784e-07,2490378,-0.19629766,0.38840932,-0.119960696,0.4,0.012311549,0.003835266,0.0005046927,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
