timestamp,timestamp_sample,device_id,differential_pressure_pa,temperature,error_count
194855772,194852800,4728849,203.58516,4.030288,22
195884637,195881672,4728849,190.9597,4.030288,22
196874076,196871071,4728849,197.27243,4.030288,22
197889652,197886686,4728849,216.21062,4.030288,22
198892239,198889274,4728849,235.14879,4.030288,22
199894842,199891878,4728849,216.21062,4.030288,22
200884047,200881052,4728849,222.52333,4.030288,22
201873386,201870422,4728849,222.52333,4.030288,22
202889128,202886133,4728849,216.21062,4.030288,22
203891516,203888552,4728849,222.52333,4.030288,22
204880440,204877476,4728849,216.21062,4.030288,22
205883017,205880053,4728849,209.89787,4.030288,22
206845069,206842091,4728849,209.89787,4.030288,23
207886754,207883783,4728849,197.27243,4.030288,23
208889318,208886354,4728849,184.64699,4.030288,23
209891633,209888666,4728849,184.64699,4.127992,23
210854497,210851521,4728849,184.64699,4.030288,23
211883400,211880435,4728849,184.64699,4.030288,23
212885842,212882876,4728849,190.9597,4.030288,23
213888455,213885487,4728849,190.9597,4.030288,23
214851435,214848471,4728849,184.64699,4.030288,23
215893570,215890606,4728849,184.64699,4.030288,23
216882843,216879877,4728849,172.02153,4.030288,23
217885425,217882452,4728849,159.39609,4.030288,23
218887551,218884584,4728849,153.08336,4.030288,23
219890109,219887143,4728849,146.77065,4.030288,23
220879549,220876581,4728849,165.70882,4.030288,23
221881937,221878972,4728849,165.70882,4.030288,23
222858255,222855290,4728849,178.33426,4.030288,23
223887254,223884289,4728849,197.27243,4.030288,23
224876559,224873582,4728849,203.58516,4.030288,23
225891878,225888876,4728849,184.64699,4.030288,23
226893935,226890970,4728849,184.64699,4.030288,23
227883106,227880142,4728849,184.64699,4.030288,23
228885277,228882311,4728849,178.33426,4.030288,23
229887389,229884423,4728849,172.02153,4.030288,23
230850226,230847262,4728849,178.33426,4.030288,23
231891879,231888879,4728849,190.9597,4.030288,23
232881072,232878077,4728849,184.64699,4.030288,23
233883021,233880056,4728849,178.33426,4.030288,23
234885292,234882327,4728849,172.02153,4.030288,23
235887651,235884668,4728849,165.70882,4.030288,23
236863866,236860901,4728849,165.70882,4.030288,23
237892292,237889328,4728849,165.70882,4.030288,23
238894857,238891892,4728849,165.70882,4.030288,23
239884022,239881050,4728849,178.33426,4.030288,23
240886634,240883653,4728849,178.33426,4.030288,23
241889017,241886051,4728849,190.9597,4.030288,23
242891404,242888439,4728849,184.64699,4.030288,23
243880726,243877761,4728849,165.70882,4.030288,23
244857023,244854057,4728849,184.64699,4.030288,23
245886016,245883052,4728849,190.9597,4.030288,23
246888383,246885418,4728849,197.27243,4.030288,23
247891210,247888244,4728849,190.9597,4.030288,23
248893455,248890489,4728849,190.9597,4.030288,23
249882547,249879583,4728849,203.58516,4.030288,23
250882200,250879235,4728849,203.58516,4.030288,24
251884630,251881660,4728849,203.58516,4.030288,24
252886732,252883767,4728849,178.33426,4.030288,24
253889279,253886309,4728849,172.02153,4.030288,24
254891930,254888966,4728849,184.64699,4.030288,24
255894114,255891150,4728849,172.02153,4.030288,24
256856466,256853501,4728849,178.33426,4.030288,24
257885101,257882102,4728849,184.64699,4.030288,24
258887630,258884648,4728849,197.27243,4.030288,24
259863578,259860612,4728849,203.58516,4.030288,24
260892216,260889244,4728849,203.58516,4.030288,24
261894759,261891795,4728849,197.27243,4.030288,24
262818252,262815287,4728849,178.33426,4.030288,24
263886546,263883581,4728849,172.02153,4.030288,24
264888880,264885904,4728849,190.9597,4.030288,24
