timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale_raw,tas_scale_raw_var,tas_scale_validated,beta_innov,beta_innov_var,source
145767766,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
146767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
147767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
148767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
149767766,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
150767766,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
151767764,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
152767774,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
153767766,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
154767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
155767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
156767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
157767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
158767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
159767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
160767766,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
161767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
162767771,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
163767766,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
164767766,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
