timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check,at_rest
130674851,0,0,0,1,0,0,0,0,0,0,0
130714893,0,0,0,1,0,0,0,0,0,0,1
131715093,0,0,0,1,0,0,0,0,0,0,1
132715358,0,0,0,1,0,0,0,0,0,0,1
133715559,0,0,0,1,0,0,0,0,0,0,1
134715794,0,0,0,1,0,0,0,0,0,0,1
135716023,0,0,0,1,0,0,0,0,0,0,1
136716320,0,0,0,1,0,0,0,0,0,0,1
137716496,0,0,0,1,0,0,0,0,0,0,1
138096589,0,0,0,1,0,0,0,0,0,0,0
139096977,0,0,0,1,0,0,0,0,0,0,0
139296906,0,0,0,1,0,0,0,0,0,0,1
140297175,0,0,0,1,0,0,0,0,0,0,1
141297352,0,0,0,1,0,0,0,0,0,0,1
142297565,0,0,0,1,0,0,0,0,0,0,1
143297857,0,0,0,1,0,0,0,0,0,0,1
144248011,0,0,0,1,0,0,0,0,0,0,0
145248240,0,0,0,1,0,0,0,0,0,0,0
146248530,0,0,0,1,0,0,0,0,0,0,0
147248826,0,0,0,1,0,0,0,0,0,0,0
148248945,0,0,0,1,0,0,0,0,0,0,0
149249206,0,0,0,1,0,0,0,0,0,0,0
150249413,0,0,0,1,0,0,0,0,0,0,0
150349463,0,0,0,1,0,0,0,0,0,0,1
151349741,0,0,0,1,0,0,0,0,0,0,1
151879878,0,0,0,1,0,0,0,0,0,0,0
152880039,0,0,0,1,0,0,0,0,0,0,0
153200146,0,0,0,1,0,0,0,0,0,0,1
154200352,0,0,0,1,0,0,0,0,0,0,1
155200591,0,0,0,1,0,0,0,0,0,0,1
156200825,0,0,0,1,0,0,0,0,0,0,1
156480915,0,0,0,1,0,0,0,0,0,0,0
157481196,0,0,0,1,0,0,0,0,0,0,0
158481375,0,0,0,1,0,0,0,0,0,0,0
159481592,0,0,0,1,0,0,0,0,0,0,0
160481826,0,0,0,1,0,0,0,0,0,0,0
161482062,0,0,0,1,0,0,0,0,0,0,0
162482373,0,0,0,1,0,0,0,0,0,0,0
163482550,0,0,0,1,0,0,0,0,0,0,0
164482773,0,0,0,1,0,0,0,0,0,0,0
165483019,0,0,0,1,0,0,0,0,0,0,0
