timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
85873484,5.0300627,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
86373484,5.0276456,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
86873484,5.042853,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
87373484,5.0225096,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
87873484,5.0431547,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
88373485,5.01687,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
88873577,5.04678,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
89373499,5.0311704,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
89873505,5.024222,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
90373484,5.0425506,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
90873484,5.0288544,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
91373484,5.0388246,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
91873484,5.0456724,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
92373497,5.0207977,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
92873531,5.0343933,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
93373483,5.043457,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
93873484,5.0300627,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
94373484,5.0215025,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
94873484,5.042752,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
95373495,5.050708,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
95873494,5.0229125,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
96373484,5.040033,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
96873504,5.0482907,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
97373483,5.04386,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
97873484,5.0486937,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
98373483,5.057858,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
98873484,5.0311704,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
99373573,5.038623,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
99873483,5.04386,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
100373484,5.0156617,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
100873531,5.0442624,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
101373484,5.008511,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
101873484,5.019992,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
102373739,5.0423493,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
102873632,5.041846,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
103373785,5.0157623,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
103873762,5.042752,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
104373486,5.041241,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
104873484,5.0257325,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
105373485,5.0398316,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
105873485,5.0415435,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
106373485,5.009619,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
106873484,5.029559,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
107373484,5.0301633,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
107873510,5.0274444,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
108373484,5.027142,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
108873484,5.021805,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
109373484,5.0411406,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
109873484,5.0368104,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
110373484,5.020395,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
110873484,5.0473847,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
111373484,5.0419464,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
111873485,5.0257325,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
112373486,5.0394287,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
112873596,5.0270414,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
113373484,5.023013,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
