timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
116761655,116661272,0.6664776,0.05455414,0.0057104207,-0.7435046,0.003873765,0.0034802184,-0.0016930952,0.0007351635,0.0006632604,0.34135664,3.445065e-05,-9.294669e-05,-2.3352084e-05,-0.0013138239,-0.00058625365,-0.0009388298,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,5.480833e-05,2.3197454e-05,2.3504514e-05,3.7881684e-05,0.00086646935,0.0008665062,0.0047183996,0.000102798826,0.00010280088,0.07321777,1.810771e-11,1.8024757e-11,4.2964417e-11,8.1469733e-07,8.161787e-07,5.0000363e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
117771840,117671503,0.6670676,0.054485597,0.005995967,-0.74297804,0.00057097344,0.0052820826,-0.003144625,0.00044203165,0.0011211546,0.32689577,3.4547087e-05,-9.275169e-05,-2.2927228e-05,-0.0013149534,-0.0005873919,-0.0009408678,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,5.443948e-05,2.3204166e-05,2.3514633e-05,3.831037e-05,0.00088622,0.00088624156,0.004742842,0.00010744225,0.00010744367,0.07316241,1.8112435e-11,1.8028707e-11,4.298247e-11,8.146658e-07,8.161464e-07,5.000018e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
118772098,118671733,0.6674481,0.054174837,0.005752855,-0.7426608,0.00030909103,0.0020412935,-0.0035681734,5.4714186e-05,0.0006763202,0.3104858,3.4497083e-05,-9.25329e-05,-2.2371125e-05,-0.0013153743,-0.0005886975,-0.0009429874,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,5.405875e-05,2.3205384e-05,2.3516279e-05,3.871119e-05,0.00088602566,0.00088604767,0.004740394,0.00010745539,0.000107456544,0.07295194,1.8107184e-11,1.8024245e-11,4.2991513e-11,8.1463065e-07,8.161112e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
119772291,119671962,0.6679229,0.05404575,0.0055700922,-0.74224466,0.0023792742,0.00040694224,-0.00349827,0.0004224324,0.00011427155,0.29786506,3.4480996e-05,-9.242547e-05,-2.184303e-05,-0.0013159381,-0.0005892841,-0.0009450008,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,5.347787e-05,2.3206096e-05,2.3519488e-05,3.8958085e-05,0.00088612613,0.0008861591,0.004742997,0.00010745423,0.000107456,0.07317829,1.8103189e-11,1.8019164e-11,4.2926843e-11,8.145955e-07,8.160751e-07,5.000027e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
120762536,120662190,0.66834456,0.0539685,0.0058755656,-0.74186826,-0.0027916748,-0.0022085803,-0.0038734227,-0.00034811714,-0.0005263725,0.28217155,3.44882e-05,-9.242833e-05,-2.1357178e-05,-0.0013165667,-0.0005891512,-0.00094647985,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,5.3111777e-05,2.3196817e-05,2.3515466e-05,3.930682e-05,0.0008665375,0.0008665716,0.004718569,0.000102799284,0.00010280091,0.073249035,1.8090961e-11,1.8004187e-11,4.2928806e-11,8.145641e-07,8.1604196e-07,5.000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
121762753,121662420,0.6686513,0.054179013,0.005899647,-0.74157625,-0.0019017443,-0.00019193513,-0.004607801,-0.0004925953,-0.00015617878,0.2561519,3.432887e-05,-9.246151e-05,-2.0778038e-05,-0.0013162517,-0.0005887808,-0.0009479725,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,5.27745e-05,2.3195587e-05,2.3521841e-05,3.9676688e-05,0.0008665683,0.0008666146,0.004716197,0.000102795035,0.00010279746,0.07303889,1.808871e-11,1.8000846e-11,4.2941282e-11,8.145313e-07,8.160082e-07,5.000018e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
122773015,122672654,0.66903627,0.054404065,0.005793463,-0.74121326,0.00020307353,0.0004336276,-0.0030445727,-0.00016518762,0.0001506585,0.23782872,3.4212815e-05,-9.243992e-05,-2.0287287e-05,-0.0013161183,-0.0005888094,-0.0009500632,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,5.2280593e-05,2.3203958e-05,2.3535633e-05,3.990153e-05,0.0008862289,0.00088627957,0.00474058,0.000107452695,0.000107455686,0.072981484,1.8094788e-11,1.8006874e-11,4.289322e-11,8.144977e-07,8.159747e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
123763215,123662882,0.66927034,0.05459729,0.005864252,-0.74098724,0.004105313,0.0016850175,-0.0017949233,0.0007026181,0.00040027025,0.22571394,3.4192486e-05,-9.23346e-05,-1.972367e-05,-0.001316729,-0.00058936747,-0.0009521924,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,5.196125e-05,2.319519e-05,2.3531647e-05,4.0222054e-05,0.0008665599,0.0008666109,0.0047162212,0.0001027892,0.00010279194,0.07305226,1.8080211e-11,1.7992151e-11,4.2904062e-11,8.1446296e-07,8.159403e-07,5.000018e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
124763474,124663114,0.6694609,0.054362565,0.00592664,-0.74083185,0.0014442201,0.0030037751,-0.0029590277,0.00058441405,0.00065273145,0.2041564,3.429803e-05,-9.217446e-05,-1.9108551e-05,-0.0013182423,-0.0005902723,-0.0009536776,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,5.148056e-05,2.319469e-05,2.3530201e-05,4.04046e-05,0.00086665084,0.0008666902,0.004713736,0.00010279579,0.00010279808,0.072841026,1.8074377e-11,1.7985988e-11,4.285376e-11,8.1442596e-07,8.1590326e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
125763720,125663345,0.6700636,0.05439124,0.005204878,-0.74029005,0.04996405,0.032936826,-0.0028893414,0.029358337,0.0146851735,0.19413806,3.4262517e-05,-9.214077e-05,-1.8627601e-05,-0.001318644,-0.0005903705,-0.0009528258,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,5.119017e-05,2.4018667e-05,2.4355862e-05,4.075876e-05,0.0036887336,0.0036896318,0.0076214373,0.0024612567,0.0024616832,0.0845766,1.9054536e-11,1.8970011e-11,4.2888405e-11,8.1443375e-07,8.159118e-07,5.0000178e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
