timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
110836551,110835579,396809,-0.0025802979,0.23282707,0.2849153,3
111284679,111283706,396809,-0.0054312535,0.23328173,0.29423,3
111861184,111806787,396809,-0.0060970625,0.22994491,0.2926981,3
112330868,112329896,396809,-0.004295096,0.23158656,0.286347,3
112778975,112777987,396809,-0.004589188,0.22854023,0.28311974,3
113354940,113300699,396809,-0.009532637,0.22860965,0.29476264,3
113825007,113824036,396809,-0.00578743,0.22842851,0.2862005,3
114273158,114272185,396809,-0.0023554533,0.2316988,0.2833379,3
114849159,114794927,396809,-0.009465828,0.22861725,0.29170573,3
115319243,115318270,396809,-0.004804507,0.23282544,0.2847004,3
115767343,115766371,396809,-0.003832461,0.23390256,0.29358578,3
116364646,116363673,396809,-0.007615844,0.22735749,0.2884205,3
116813517,116812545,396809,-0.0075547905,0.22853804,0.28283322,3
117261584,117260588,396809,-0.005100972,0.22898988,0.28147233,3
117858895,117857923,396809,-0.006133041,0.2273586,0.28856376,3
118307673,118306700,396809,-0.007831163,0.23164272,0.29000118,3
118755751,118754779,396809,-0.0013857877,0.23198669,0.29222244,3
119352983,119352011,396809,-0.0046383226,0.23130587,0.28871107,3
119801945,119800972,396809,-0.008067926,0.22882482,0.2915745,3
120249993,120249021,396809,-0.0011514069,0.23401535,0.29064825,3
120847225,120846255,396809,-0.0038501679,0.22775152,0.28319055,3
121295659,121294687,396809,-0.004821185,0.22730076,0.2846947,3
121744047,121743075,396809,-0.004304629,0.2284296,0.28634375,3
122341368,122340396,396809,-0.003377993,0.23322447,0.29043257,3
122789989,122789017,396809,-0.008814093,0.2272458,0.29150128,3
123366341,123312026,396809,-0.0036624726,0.23013896,0.2845424,3
123835739,123834766,396809,-0.0023530691,0.23248804,0.2833387,3
124284232,124283259,396809,-0.00856542,0.23400988,0.28993198,3
124860645,124806296,396809,-0.0054516,0.22943322,0.28476858,3
125329909,125328938,396809,-0.00036666484,0.2290454,0.27473745,3
125778362,125777377,396809,-0.0021210797,0.23372747,0.28176373,3
126354834,126300515,396809,-0.006668711,0.23576914,0.29158166,3
126824143,126823170,396809,-0.0013128229,0.23711337,0.28663924,3
127272644,127271671,396809,-0.0005666541,0.23869239,0.28671247,3
127849030,127794486,396809,-0.012920536,0.23032469,0.2913732,3
128318349,128317377,396809,-0.0028075336,0.2331661,0.2864919,3
128766774,128765801,396809,-0.0030862885,0.23548158,0.29365903,3
129364156,129363184,396809,-0.018491043,0.25250086,0.30177313,3
129812703,129811731,396809,-0.011194072,0.25126025,0.29288742,3
130261243,130260271,396809,-0.0077644708,0.2537413,0.29002398,3
130858427,130857454,396809,-0.0153005915,0.25137478,0.30048224,3
131306832,131305858,396809,-0.01101122,0.25526536,0.2969038,3
131755334,131754360,396809,-0.008043227,0.25605676,0.2971911,3
132352525,132351553,396809,-0.015293448,0.2537425,0.30048472,3
132800924,132799951,396809,-0.0127284,0.25323558,0.29833472,3
133249431,133248463,396809,-0.006787662,0.25639692,0.29891098,3
133846757,133845786,396809,-0.0119354725,0.2512597,0.2928158,3
134295226,134294254,396809,-0.014505282,0.25018814,0.29496416,3
134743660,134742688,396809,-0.013457887,0.2571812,0.29826713,3
135340897,135339923,396809,-0.010103636,0.25374633,0.30098608,3
135788973,135788000,396809,-0.01774488,0.25407988,0.30184639,3
136365808,136311405,396809,-0.009446639,0.2539304,0.29385737,3
136835087,136834111,396809,-0.011750236,0.25605404,0.29683298,3
137283179,137282208,396809,-0.015763236,0.24905878,0.2932435,3
137859908,137805545,396809,-0.011745049,0.25464517,0.2976316,3
138329308,138328321,396809,-0.010502844,0.25340006,0.28816086,3
138777186,138776213,396809,-0.017408796,0.25199285,0.29947987,3
139354226,139299836,396809,-0.01284953,0.2539475,0.29486057,3
139823439,139822463,396809,-0.005821406,0.25526917,0.29740518,3
140271591,140270620,396809,-0.01277754,0.25600123,0.30392605,3
140848338,140793969,396809,-0.013323895,0.25428635,0.29641327,3
141317646,141316672,396809,-0.009978113,0.25752297,0.3002019,3
141765716,141764745,396809,-0.0119283255,0.25362742,0.29281825,3
142363839,142362866,396809,-0.016205788,0.25368303,0.29640076,3
142811906,142810922,396809,-0.011177398,0.25678492,0.29289314,3
143259988,143259008,396809,-0.01146568,0.25594342,0.300057,3
143858164,143857191,396809,-0.014549661,0.25453228,0.30055714,3
144306191,144305218,396809,-0.009296419,0.25650588,0.2954721,3
144754182,144753209,396809,-0.008782251,0.25684544,0.29712033,3
145351963,145350991,396809,-0.010440762,0.25520697,0.29296312,3
145800369,145799375,396809,-0.010154856,0.25525922,0.28579843,3
146248461,146247487,396809,-0.012956661,0.25294822,0.28952175,3
146846145,146845171,396809,-0.011810603,0.21867406,0.2157583,3
147294764,147293792,396809,-0.009086308,0.2193959,0.2153503,3
147742816,147741843,396809,-0.01049746,0.2172782,0.2155675,3
148340562,148339590,396809,-0.009419935,0.2191161,0.22012211,3
148788948,148787963,396809,-0.0036595138,0.2178837,0.207946,3
149365340,149310888,396809,-0.00368525,0.2180026,0.20900296,3
149834645,149833670,396809,-0.011100378,0.21265216,0.21691284,3
150283055,150282082,396809,-0.003822466,0.21611509,0.20803744,3
150859457,150804984,396809,-0.004376125,0.21833456,0.2097166,3
151328720,151327747,396809,-0.0074583935,0.21578182,0.21730259,3
151776741,151775768,396809,-0.0066185286,0.21699698,0.21175766,3
152353644,152299125,396809,-0.0028449423,0.21766776,0.20779836,3
152823029,152822044,396809,-0.0065481737,0.21804368,0.22028205,3
153270977,153270004,396809,-0.0057710074,0.2172268,0.20998618,3
153847856,153793413,396809,-0.0039021447,0.21820015,0.20926929,3
154317215,154316243,396809,-0.0010459679,0.21514958,0.21365878,3
154765369,154764370,396809,-0.013515752,0.21303913,0.2212207,3
155363444,155362467,396809,-0.0064429124,0.21447612,0.21473053,3
155811482,155810510,396809,-0.0028055157,0.21738882,0.21030775,3
156259513,156258545,396809,-0.013253743,0.21524307,0.22526774,3
156857795,156856821,396809,-0.0065024532,0.2160616,0.21696933,3
157305929,157304921,396809,-0.0064310594,0.2142092,0.2057515,3
157753896,157752923,396809,-0.014540616,0.21184327,0.21220678,3
158352105,158351120,396809,-0.0068119047,0.21231462,0.20607184,3
158800209,158799237,396809,-0.0052019423,0.20742637,0.20554003,3
159248339,159247366,396809,-0.008443811,0.2055946,0.19640857,3
159846496,159845500,396809,-0.009457713,0.20990424,0.20743912,3
160294493,160293521,396809,-0.00043325638,0.21027616,0.20269279,3
160742406,160741433,396809,-0.004402113,0.21003504,0.2198877,3
161340259,161339282,396809,-0.0068110814,0.20934199,0.22194679,3
161788654,161787681,396809,-0.0076852795,0.21095513,0.21787807,3
162364658,162310476,396809,-0.006573576,0.20997731,0.21447623,3
162834460,162833487,396809,-0.008136925,0.20625909,0.20726195,3
163282816,163281844,396809,-0.007271399,0.2109586,0.20733675,3
163858806,163804637,396809,-0.0060395054,0.20922747,0.21374914,3
164328645,164327673,396809,-0.009016756,0.20414403,0.22184563,3
164777088,164776110,396809,-0.0033048228,0.20316957,0.21527866,3
165353200,165299026,396809,-0.004814767,0.20124257,0.21032801,3
