timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
148629391,148629229,2490378,0.00053292495,-0.036115658,0.009689242,53.53563,0,20
149630231,149630067,2490378,-0.00051960186,-0.039676264,0.010145559,53.478264,0,20
150631069,150630906,2490378,0.0011224733,-0.035715964,0.010891654,53.514496,0,20
151629418,151629254,2490378,-0.00079605664,-0.039213285,0.010162213,53.496376,0,20
152630257,152630093,2490378,0.00047963246,-0.035889167,0.0085467845,53.49336,0,20
153631093,153630931,2490378,-0.008573431,-0.041308347,0.009262902,53.523552,0,20
154631933,154631770,2490378,-0.013892688,-0.046494372,0.009969028,53.52657,0,20
155630281,155630119,2490378,-0.0058621746,-0.041688055,0.009532696,53.54469,0,20
156631138,156630958,2490378,0.026556317,-0.047020636,0.018212711,53.586956,0,20
157631998,157631797,2490378,-0.0070312787,-0.05203346,0.0031142803,53.502415,0,20
158630309,158630146,2490378,-0.00032641654,-0.015754594,-0.005942113,53.5779,0,20
159631147,159630986,2490378,-0.10522936,-0.039583,0.004210107,53.44807,0,20
160631990,160631825,2490378,-0.0051793647,-0.0372781,0.010038974,53.589977,0,20
161632828,161632665,2490378,-0.027385682,-0.037294757,0.008933155,53.5779,0,20
162631176,162631015,2490378,0.005808882,-0.06980318,0.008736638,53.586956,0,20
163632017,163631856,2490378,0.0067614857,-0.03833396,0.008966463,53.644325,0,20
164632874,164632696,2490378,0.01402925,-0.012993377,0.0064750384,53.58394,0,20
165628736,165628558,2490378,0.0015654671,-0.040105935,0.011264701,53.574883,0,20
