timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,parachute_system_healthy
138567042,1200.0,0.6526765,857.01807,0.0,3531,0,41.708874,294,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139623718,1200.0,0.6526765,758.7073,0.0,3550,0,41.709038,296,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140541697,1200.0,0.6526765,480.97983,0.0,3571,0,41.998238,298,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141566699,1200.0,0.6526765,905.8851,0.0,3587,0,67.39626,301,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142623698,1200.0,0.6526765,731.2519,0.0,3606,0,41.957077,303,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143531711,1200.0,0.6526765,585.088,0.0,3633,0,41.792,305,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144564696,1200.0,0.6526765,1047.6664,0.0,3650,0,41.708046,307,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145629703,1200.0,0.6526765,925.2076,0.0,3673,0,41.828545,309,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146533936,1200.0,0.6526765,675.85315,0.0,3700,0,41.621456,311,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147564757,1200.0,0.6526765,1048.91,0.0,3718,0,41.757557,313,0,0,0,2,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
