timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
958591015,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
958895949,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
958966278,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
959016030,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
959085917,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
959180963,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
959295881,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
959345828,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
959515795,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
959587614,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
959650888,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
959725731,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
959955781,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
959980665,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
960025663,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
960325606,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
960375619,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
960440587,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
960460582,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
960580542,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
960695511,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
960865502,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
960980493,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
961095441,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
961120417,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
961190417,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
961285451,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
961550318,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
961575343,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
961640392,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
961710296,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
962035214,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
962130191,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
962155191,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
962225232,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
962295166,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
962440102,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
962515159,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
962610067,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
962745079,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
962765160,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
962959984,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
963034967,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
963109958,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
963219966,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
963264928,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
963414903,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
963529861,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
963604862,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
963674824,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
963814794,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
964139772,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
964439813,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
964489629,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
964539728,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
964624646,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
964694652,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
964819643,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
964909657,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
965019620,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
965109632,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
965219564,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
965334553,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
965444562,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
965489546,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
965804495,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
966109263,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
966224240,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
966249236,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
966274241,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
966419266,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
966509251,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
966534168,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
966679301,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
966814282,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
966889201,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
966984058,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
967104050,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
967204046,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
967319061,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
967488948,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
967513935,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
967648918,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
967725678,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
967804102,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
967903860,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
968048814,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
968098799,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
968143885,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
968263813,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
968583695,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
968693689,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
968718668,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
968788713,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
968923766,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
968948692,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
969068904,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
